ibge_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos
11;2023;0;0;10;;89,1;6,5;4,4
11;2023;0;1;10;;89,1;6,6;4,3
11;2023;0;2;10;;89,4;5,4;5,2
11;2023;1;0;10;;93,8;5,9;0,3
11;2023;1;1;10;;94,2;5,6;0,2
11;2023;1;2;10;;92,7;6,8;0,5
11;2023;2;0;10;;88,5;6,5;5
11;2023;2;1;10;;88,6;6,6;4,8
11;2023;2;2;10;;86,1;5,4;8,5
11;2023;3;0;10;;;;
11;2023;3;1;10;;;;
11;2023;3;2;10;;;;
11;2023;4;0;10;;92,8;6,7;0,5
11;2023;4;1;10;;92,5;7,3;0,2
11;2023;4;2;10;;94,5;3,6;1,9
11;2023;5;0;10;;88,8;6,5;4,7
11;2023;5;1;10;;88,9;6,5;4,6
11;2023;5;2;10;;88,1;5,8;6,1
12;2023;0;0;10;;83,1;9,8;7,1
12;2023;0;1;10;;83,9;11,7;4,4
12;2023;0;2;10;;80,4;3,7;15,9
12;2023;1;0;10;;92,3;5,8;1,9
12;2023;1;1;10;;90,1;7,5;2,4
12;2023;1;2;10;;98,5;1;0,5
12;2023;2;0;10;;81,7;10,5;7,8
12;2023;2;1;10;;82,5;12,7;4,8
12;2023;2;2;10;;79,3;3,8;16,9
12;2023;3;0;10;;;;
12;2023;3;1;10;;;;
12;2023;3;2;10;;;;
12;2023;4;0;10;;97;2,2;0,8
12;2023;4;1;10;;97;2,2;0,8
12;2023;5;0;10;;82,3;10,2;7,5
12;2023;5;1;10;;83;12,4;4,6
12;2023;5;2;10;;80,4;3,7;15,9
13;2023;0;0;10;;87,2;7,8;5
13;2023;0;1;10;;87,2;8,4;4,4
13;2023;0;2;10;;87,4;5,3;7,3
13;2023;1;0;10;;88,3;10,9;0,8
13;2023;1;1;10;;87,7;11,4;0,9
13;2023;1;2;10;;92,9;6,8;0,3
13;2023;2;0;10;;86,7;7,9;5,4
13;2023;2;1;10;;86,6;8,5;4,9
13;2023;2;2;10;;87,2;5,2;7,6
13;2023;3;0;10;;;;
13;2023;3;1;10;;;;
13;2023;3;2;10;;;;
13;2023;4;0;10;;96,3;3,5;0,2
13;2023;4;1;10;;96,2;3,6;0,2
13;2023;4;2;10;;100;0;0
13;2023;5;0;10;;86,8;8;5,2
13;2023;5;1;10;;86,7;8,6;4,7
13;2023;5;2;10;;87,3;5,3;7,4
14;2023;0;0;10;;83,4;11;5,6
14;2023;0;1;10;;82,5;13,1;4,4
14;2023;0;2;10;;86,2;4,5;9,3
14;2023;1;0;10;;88,7;6,3;5
14;2023;1;1;10;;86,9;6,9;6,2
14;2023;1;2;10;;92,6;4,8;2,6
14;2023;2;0;10;;82,4;11,7;5,9
14;2023;2;1;10;;81,4;14;4,6
14;2023;2;2;10;;85,6;4,5;9,9
14;2023;3;0;10;;;;
14;2023;3;1;10;;;;
14;2023;3;2;10;;;;
